id,bg_year_id,bg_make_id,bg_model_id,bg_submodel_id,,,,
1,37,18,,,,,,
2,37,2,151,3652,,,,
3,37,4,16,,,,,
4,37,52,,,,,,
5,37,11,,,,,,
6,37,35,,,,,,
7,37,,,,,,,
8,37,,,,,,,
9,37,,,,,,,
10,37,33,,,,,,
11,37,19,,,,,,
12,37,13,,,,,,
13,37,4,16,,,,,
14,37,,,,,,,
15,37,42,,,,,,
16,37,,,,,,,
17,37,22,,,,,,
18,37,4,15,,,,,
19,37,13,,,,,,
20,37,,,,,,,
21,37,,,,,,,
22,37,,,,,,,
23,18,,,,,,,
24,18,,,,,,,
25,18,52,,,,,,
26,18,11,,,,,,
27,18,,,,,,,
28,18,42,240,,,,,
29,18,,,,,,,
30,18,,,,,,,
31,18,4,9,,,,,
32,18,4,15,,,,,
33,18,50,,,,,,
34,18,,,,,,,
35,18,2,151,2423,,,,
36,18,2,151,2423,,,,
37,18,33,,,,,,
38,18,,,,,,,
39,18,,,,,,,
40,18,35,,,,,,
41,18,,,,,,,
42,18,,,,,,,
43,18,11,,,,,,
44,18,42,,,,,,
45,18,,,,,,,
46,18,26,,,,,,
47,18,19,,,,,,
48,18,22,,,,,,
49,18,,,,,,,
50,18,35,,,,,,
51,18,,,,,,,
52,18,2,151,2423,,,,
53,18,4,16,,,,,
54,39,34,,,,,,
55,39,,,,,,,
56,39,,,,,,,
57,39,35,,,,,,
58,39,,,,,,,
59,39,,,,,,,
60,39,,,,,,,
61,39,,,,,,,
62,39,35,,,,,,
63,39,42,,,,,,
64,39,52,,,,,,
65,39,,,,,,,
66,39,13,,,,,,
67,39,11,,,,,,
68,39,64,,,,,,
69,39,,,,,,,
70,39,,,,,,,
71,39,,,,,,,
72,39,,,,,,,
73,39,,,,,,,
74,39,42,240,,,,,
75,39,,,,,,,
76,39,,,,,,,
77,39,4,16,,,,,
78,39,13,,,,,,
79,39,13,,,,,,
80,39,22,,,,,,
81,39,34,,,,,,
82,39,,,,,,,
83,39,11,,,,,,
84,39,52,,,,,,
85,39,50,,,,,,
86,39,,,,,,,
87,39,,,,,,,
88,39,19,,,,,,
89,38,,,,,,,
90,38,2,,,,,,
91,38,32,,,,,,
92,38,,,,,,,
93,38,,,,,,,
94,38,29,,,,,,
95,38,,,,,,,
96,38,,,,,,,
97,38,34,,,,,,
98,38,34,,,,,,
99,38,64,,,,,,
100,38,11,,,,,,
101,38,,,,,,,
102,38,64,,,,,,
103,38,27,,,,,,
104,38,2,,,,,,
105,38,,,,,,,
106,38,,,,,,,
107,38,2,151,3653,,,,
108,38,,,,,,,
109,38,,,,,,,
110,38,,,,,,,
111,38,,,,,,,
112,38,,,,,,,
113,38,,,,,,,
114,38,,,,,,,
115,38,35,,,,,,
116,38,4,15,,,,,
117,38,29,,,,,,
118,38,,,,,,,
119,38,,,,,,,
120,62,,,,,,,
121,62,,,,,,,
122,62,,,,,,,
123,62,64,,,,,,
124,62,64,,,,,,
125,62,33,,,,,,
126,62,,,,,,,
127,62,,,,,,,
128,62,,,,,,,
129,62,,,,,,,
130,62,49,,,,,,
131,62,49,,,,,,
132,62,,,,,,,
133,62,,,,,,,
134,62,,,,,,,
135,62,,,,,,,
136,62,19,,,,,,
137,62,,,,,,,
138,62,35,,,,,,
139,62,,,,,,,
140,62,,,,,,,
141,62,42,,,,,,
142,62,34,,,,,,
143,62,29,,,,,,
144,62,,,,,,,
145,62,,,,,,,
146,62,,,,,,,
147,62,2,151,,,,,
148,62,,,,,,,
149,62,,,,,,,
150,62,11,,,,,,
151,62,11,,,,,,
152,63,34,,,,,,
153,63,35,,,,,,
154,63,,,,,,,
155,63,13,,,,,,
156,63,13,,,,,,
157,63,10,,,,,,
158,63,46,,,,,,
159,63,,,,,,,
160,63,,,,,,,
161,63,,,,,,,
162,63,,,,,,,
163,63,,,,,,,
164,63,,,,,,,
165,63,49,,,,,,
166,63,,,,,,,
167,63,50,,,,,,
168,63,,,,,,,
169,63,64,,,,,,
170,63,,,,,,,
171,63,,,,,,,
172,63,,,,,,,
173,63,19,,,,,,
174,63,,,,,,,
175,63,64,,,,,,
176,63,,,,,,,
177,63,,,,,,,
178,63,,,,,,,
179,63,,,,,,,
180,63,22,,,,,,
181,63,42,240,,,,,
182,63,2,151,,,,,
183,63,11,54,,,,,
184,63,,,,,,,
185,63,,,,,,,
186,63,18,,,,,,
187,63,,,,,,,
188,63,,,,,,,
189,40,52,,,,,,
190,40,18,,,,,,
191,40,,,,,,,
192,40,,,,,,,
193,40,64,,,,,,
194,40,52,,,,,,
195,40,,,,,,,
196,40,19,,,,,,
197,40,,,,,,,
198,40,42,,,,,,
199,40,4,9,,,,,
200,40,4,9,,,,,
201,40,50,,,,,,
202,40,,,,,,,
203,40,,,,,,,
204,40,,,,,,,
205,40,,,,,,,
206,40,4,10,,,,,
207,40,35,,,,,,
208,40,52,,,,,,
209,40,26,,,,,,
210,40,30,,,,,,
211,40,,,,,,,
212,40,64,,,,,,
213,40,,,,,,,
214,40,,,,,,,
215,41,4,15,,,,,
216,41,,,,,,,
217,41,35,195,,,,,
218,41,,,,,,,
219,41,,,,,,,
220,41,52,,,,,,
221,41,,,,,,,
222,41,,,,,,,
223,41,,,,,,,
224,41,34,,,,,,
225,41,2,151,3656,,,,
226,41,32,,,,,,
227,41,,,,,,,
228,41,,,,,,,
229,41,4,16,,,,,
230,41,35,,,,,,
231,41,35,,,,,,
232,41,,,,,,,
233,41,,,,,,,
234,41,18,,,,,,
235,41,26,,,,,,
236,41,13,,,,,,
237,41,,,,,,,
238,41,,,,,,,
239,41,,,,,,,
240,41,29,,,,,,
241,41,,,,,,,
242,41,64,,,,,,
243,41,11,,,,,,
244,41,,,,,,,
245,41,19,,,,,,
246,41,,,,,,,
247,41,2,154,,,,,
248,41,,,,,,,
249,41,30,,,,,,
250,64,49,,,,,,
251,64,,,,,,,
252,64,,,,,,,
253,64,10,,,,,,
254,64,,,,,,,
255,64,,,,,,,
256,64,,,,,,,
257,64,18,,,,,,
258,64,,,,,,,
259,64,,,,,,,
260,64,,,,,,,
261,64,35,195,,,,,
262,64,,,,,,,
263,64,19,,,,,,
264,64,42,,,,,,
265,64,17,,,,,,
266,64,8,,,,,,
267,64,52,,,,,,
268,64,,,,,,,
269,64,,,,,,,
270,64,35,,,,,,
271,64,35,,,,,,
272,64,11,,,,,,
273,64,2,,,,,,
274,64,35,195,,,,,
275,64,,,,,,,
276,64,,,,,,,
277,64,,,,,,,
278,64,,,,,,,
279,64,2,153,,,,,
280,36,2,151,,,,,
281,36,42,240,,,,,
282,36,35,,,,,,
283,36,,,,,,,
284,36,33,,,,,,
285,36,10,,,,,,
286,36,34,,,,,,
287,36,19,,,,,,
288,36,11,54,,,,,
289,36,29,,,,,,
290,36,52,,,,,,
291,36,,,,,,,
292,36,35,195,,,,,
293,36,,,,,,,
294,36,30,,,,,,
295,36,4,15,,,,,
296,36,31,,,,,,
297,36,48,,,,,,
298,36,12,,,,,,
299,36,,,,,,,
300,36,42,,,,,,
301,36,,,,,,,
302,36,,,,,,,
303,36,35,,,,,,
304,36,,,,,,,
305,36,34,,,,,,
306,36,11,54,,,,,
307,36,,,,,,,
308,36,35,,,,,,
309,36,32,172,,,,,
310,36,2,151,,,,,
311,36,,,,,,,
312,36,18,,,,,,
313,36,10,,,,,,
314,65,35,,,,,,
315,65,2,,,,,,
316,65,18,,,,,,
317,65,33,181,,,,,
318,65,,,,,,,
319,65,,,,,,,
320,65,,,,,,,
321,65,2,,,,,,
322,65,10,,,,,,
323,65,30,,,,,,
324,65,35,,,,,,
325,65,5,,,,,,
326,65,45,,,,,,
327,65,13,,,,,,
328,65,29,126,,,,,
329,65,,,,,,,
330,65,,,,,,,
331,65,,,,,,,
332,65,4,15,,,,,
333,65,35,195,,,,,
334,65,,,,,,,
335,65,,,,,,,
336,65,19,,,,,,
337,65,26,,,,,,
338,65,17,,,,,,
339,65,30,,,,,,
340,65,49,,,,,,
341,65,52,,,,,,
342,65,,,,,,,
343,65,64,,,,,,
344,65,,,,,,,
345,65,8,,,,,,
346,65,,,,,,,
347,65,,,,,,,
348,65,5,,,,,,
349,65,,,,,,,
350,65,2,349,,,,,
351,65,,,,,,,
352,65,35,,,,,,
353,65,31,,,,,,
354,65,35,195,,,,,
355,65,,,,,,,
356,65,,,,,,,
357,65,42,240,,,,,
358,42,11,54,,,,,
359,42,18,,,,,,
360,42,,,,,,,
361,42,42,240,,,,,
362,42,10,,,,,,
363,42,10,,,,,,
364,42,35,195,,,,,
365,42,29,,,,,,
366,42,10,,,,,,
367,42,10,,,,,,
368,42,2,349,,,,,
369,42,,,,,,,
370,42,,,,,,,
371,42,19,,,,,,
372,42,,,,,,,
373,42,,,,,,,
374,42,,,,,,,
